,ID,age,job,marital,education,default,balance,housing,loan,subscribed
124,7965,39,blue-collar,married,secondary,no,280,yes,no,no
125,42960,27,management,single,tertiary,no,390,no,no,yes
126,13422,57,blue-collar,married,secondary,no,0,no,yes,no
127,14517,59,housemaid,married,primary,no,37,no,yes,no
128,31646,35,technician,married,secondary,no,0,yes,no,no
129,24264,39,blue-collar,married,primary,no,108,no,no,no
130,5861,32,blue-collar,married,primary,no,494,yes,no,no
131,15907,44,management,married,primary,no,4758,yes,no,yes
132,14659,43,entrepreneur,married,tertiary,no,1,yes,yes,no
133,4550,36,technician,divorced,secondary,no,566,yes,no,no
134,7471,32,management,single,tertiary,no,406,no,no,no
135,23425,47,management,married,tertiary,no,-315,yes,yes,no
136,3189,50,management,married,tertiary,no,-516,yes,no,no
137,3825,36,blue-collar,married,secondary,no,63,yes,no,no
138,28285,32,blue-collar,married,primary,no,634,no,no,yes
139,23111,55,self-employed,married,secondary,yes,0,no,no,no
140,16143,43,management,married,tertiary,no,409,no,no,no
141,5659,47,services,married,secondary,no,4063,yes,yes,no
142,432,42,management,married,tertiary,no,1680,yes,no,no
143,34601,32,technician,divorced,tertiary,no,75,no,no,no
144,18354,35,technician,married,tertiary,no,108,yes,no,no
145,43371,30,self-employed,single,tertiary,no,916,no,no,yes
146,4158,20,blue-collar,married,primary,no,-172,yes,yes,no
147,24489,56,management,divorced,tertiary,no,2096,no,no,no
148,12640,29,admin.,single,secondary,no,2802,no,yes,no
149,31223,61,retired,married,tertiary,no,32685,no,no,yes
150,31033,69,retired,married,primary,no,2346,no,no,yes
151,32881,33,admin.,single,secondary,no,91,yes,no,no
152,42323,24,blue-collar,married,secondary,no,272,no,no,yes
153,9136,36,unemployed,single,primary,no,1201,yes,no,no
154,32384,26,technician,married,unknown,no,-277,yes,no,no
155,24372,53,admin.,married,secondary,no,1661,yes,yes,no
156,15792,25,admin.,single,secondary,no,105,no,yes,no
157,29101,36,admin.,married,secondary,no,96,no,no,yes
158,23977,47,blue-collar,married,secondary,no,947,no,yes,no
159,41839,40,unemployed,single,tertiary,no,79,no,no,yes
160,21956,39,housemaid,married,secondary,no,-146,yes,yes,no
161,20185,46,self-employed,married,tertiary,no,2421,no,no,no
162,25638,53,retired,married,tertiary,no,1452,no,yes,no
163,15485,47,technician,divorced,secondary,no,-767,no,yes,no
164,38246,31,blue-collar,single,secondary,no,178,yes,no,no
165,42649,40,management,married,tertiary,no,5142,no,no,no
166,11992,41,management,married,tertiary,no,15,no,no,no
167,9667,47,housemaid,married,primary,no,389,no,no,no
168,2984,45,entrepreneur,single,tertiary,no,1410,yes,no,no
169,10844,44,housemaid,married,tertiary,no,460,no,no,no
170,43923,62,retired,married,primary,no,1742,no,no,yes
171,37334,50,management,married,primary,no,117,yes,no,no
172,5739,46,blue-collar,married,primary,no,537,no,no,no
173,16152,35,management,married,tertiary,no,-196,yes,no,no
174,2219,41,blue-collar,married,primary,no,1052,yes,yes,no
175,7126,43,technician,married,secondary,no,2041,yes,yes,no
176,22097,33,technician,single,tertiary,no,1805,no,no,no
177,9932,41,unemployed,married,tertiary,no,1666,no,no,no
178,33371,40,admin.,single,tertiary,no,283,yes,no,no
179,8697,30,technician,single,secondary,no,3107,yes,no,no
180,20625,31,management,single,tertiary,no,1858,no,no,yes
181,23480,39,technician,married,tertiary,no,-204,yes,no,no
182,40533,34,admin.,married,secondary,no,1551,yes,yes,no
183,22669,37,self-employed,married,secondary,no,119,no,no,no
184,28656,29,management,married,tertiary,no,-346,no,no,no
185,21478,37,management,divorced,tertiary,no,481,yes,no,no
186,39502,37,management,married,tertiary,no,900,yes,no,no
187,11513,50,entrepreneur,married,secondary,no,1857,no,yes,no
188,9432,32,self-employed,married,tertiary,no,189,yes,no,no
189,35945,39,services,married,secondary,no,-762,yes,yes,no
190,32911,43,management,married,tertiary,no,175,yes,no,no
191,4694,48,blue-collar,married,secondary,no,5058,no,no,no
192,14836,26,self-employed,single,secondary,no,166,yes,no,no
193,34488,29,admin.,single,secondary,no,0,yes,no,no
194,10632,37,services,married,secondary,no,1092,no,no,no
195,40860,25,technician,single,secondary,no,886,no,no,no
196,40931,26,management,single,tertiary,no,1643,no,no,no
197,8358,47,services,married,secondary,no,344,yes,no,no
198,41299,39,technician,divorced,secondary,no,385,no,no,no
199,37009,43,blue-collar,married,secondary,no,3,yes,no,no
200,40899,36,management,single,tertiary,no,7252,no,no,no
201,10119,54,housemaid,married,unknown,no,4789,no,no,no
202,1442,22,technician,single,secondary,no,54,yes,yes,no
203,30602,32,student,single,unknown,no,5969,no,no,no
204,40641,43,management,married,tertiary,no,1791,no,no,yes
205,30176,37,self-employed,married,secondary,no,126,no,yes,no
206,24873,36,management,single,tertiary,no,0,no,yes,no
207,15581,32,technician,single,secondary,no,648,no,yes,no
208,16495,42,blue-collar,married,unknown,no,149,yes,no,no
209,6790,31,technician,single,primary,no,449,yes,no,no
210,15730,32,technician,married,secondary,no,-796,yes,yes,no
211,18336,44,technician,divorced,primary,no,538,no,no,no
212,10468,31,blue-collar,married,primary,no,0,no,no,no
213,43176,37,management,married,tertiary,no,1113,no,no,yes
214,30955,36,unemployed,single,secondary,no,115,no,no,no
215,41762,55,admin.,married,secondary,no,9329,no,no,no
216,33333,20,student,single,unknown,no,330,no,no,no
217,23896,41,technician,married,secondary,no,0,no,no,no
218,32775,36,management,married,tertiary,no,-26,no,no,no
219,40607,37,admin.,single,secondary,no,115,no,no,no
220,31057,43,management,divorced,tertiary,no,36,no,no,no
221,8202,38,management,married,tertiary,no,-239,yes,no,no
222,27564,39,blue-collar,married,primary,no,477,yes,yes,no
223,36370,37,blue-collar,married,unknown,no,622,yes,no,no
224,10545,41,technician,married,secondary,no,902,no,no,no
225,38342,24,blue-collar,single,secondary,no,3,yes,no,no
226,55,24,technician,single,secondary,no,-103,yes,yes,no
227,1229,53,unemployed,married,secondary,no,582,yes,no,no
228,2694,34,blue-collar,married,secondary,no,-100,yes,no,no
229,7324,35,management,married,secondary,no,97,yes,no,no
230,4282,26,blue-collar,divorced,secondary,no,0,yes,no,no
231,15229,36,admin.,married,secondary,no,1314,yes,no,no
232,6445,27,admin.,married,secondary,no,186,yes,no,no
233,34189,60,blue-collar,married,primary,no,1723,no,no,no
234,22139,34,management,married,tertiary,no,468,no,no,no
235,34075,31,services,single,tertiary,no,620,no,no,no
236,33204,35,management,single,tertiary,no,1422,yes,yes,no
237,13862,49,blue-collar,married,secondary,no,1127,yes,yes,no
238,34002,46,services,married,secondary,no,4,no,no,yes
239,9603,48,services,divorced,primary,no,927,no,no,no
240,3672,45,blue-collar,divorced,primary,no,104,yes,no,no
241,11913,39,self-employed,single,unknown,no,0,no,no,no
242,37737,50,management,married,secondary,no,125,yes,yes,no
243,8103,35,management,single,tertiary,no,0,yes,no,no
244,37018,50,blue-collar,married,primary,no,-522,yes,no,yes
245,18639,26,unemployed,single,secondary,no,1,no,no,no
246,33704,59,technician,married,secondary,no,10925,no,no,yes
247,29939,51,unemployed,single,tertiary,no,1594,no,no,no
248,14505,51,technician,married,tertiary,no,1537,no,yes,no
249,7169,40,admin.,married,secondary,no,451,yes,yes,no
250,16240,27,services,married,secondary,no,2526,yes,no,no
251,19240,30,blue-collar,single,secondary,no,4749,no,no,no
252,27090,32,services,married,secondary,no,8043,yes,no,no
253,17190,46,services,married,secondary,no,53,no,yes,no
254,34443,25,services,single,secondary,no,443,yes,no,no
255,10131,42,blue-collar,married,secondary,no,103,no,no,no
256,324,32,technician,divorced,tertiary,no,2558,no,no,no
257,19134,37,technician,married,secondary,no,0,no,no,no
258,36668,42,blue-collar,married,secondary,no,3,yes,no,no
259,9784,58,entrepreneur,married,tertiary,no,2920,yes,no,no
260,18779,41,technician,married,secondary,no,188,no,yes,no
261,41234,27,management,single,tertiary,no,377,no,no,no
262,25464,53,management,married,tertiary,no,57,no,yes,no
263,7778,44,blue-collar,married,secondary,no,3224,yes,no,no
264,40578,34,housemaid,married,secondary,no,5,no,no,no
265,7900,29,services,single,secondary,no,193,yes,no,no
266,38641,45,self-employed,single,secondary,no,2762,yes,no,no
267,2020,31,management,single,tertiary,no,6248,yes,no,no
268,21497,47,technician,married,secondary,no,17206,yes,no,no
269,17929,53,management,divorced,tertiary,no,93,no,no,no
270,6186,33,blue-collar,married,primary,no,1217,yes,no,no
271,721,54,technician,divorced,secondary,no,83,yes,no,no
272,42426,61,management,married,tertiary,no,0,yes,yes,no
273,28884,44,management,single,tertiary,no,780,yes,no,no
274,29926,60,blue-collar,married,secondary,no,414,no,no,no
275,34621,34,services,divorced,secondary,no,-258,yes,no,no
276,29857,48,blue-collar,married,secondary,no,320,yes,yes,no
277,26613,37,unemployed,married,secondary,no,2424,no,no,no
278,6372,42,unemployed,married,secondary,no,-165,yes,yes,no
279,3062,40,housemaid,divorced,primary,no,2610,yes,no,no
280,172,44,services,married,secondary,no,1357,yes,yes,no
281,22829,56,management,married,tertiary,no,154,no,no,no
282,42555,43,services,married,tertiary,no,4216,no,no,yes
283,34472,32,admin.,single,secondary,no,12,yes,no,no
284,28449,27,technician,married,secondary,no,2735,yes,no,no
285,12588,44,blue-collar,married,secondary,no,978,no,no,no
286,3399,55,services,divorced,primary,no,2923,yes,no,no
287,6360,29,self-employed,married,secondary,no,-76,yes,no,no
288,8811,24,student,single,secondary,no,2726,yes,no,no
289,37611,52,management,married,secondary,no,2216,yes,yes,no
290,35409,34,technician,divorced,secondary,no,592,yes,no,no
291,29874,43,management,married,tertiary,no,-194,no,no,no
292,40220,31,management,single,tertiary,no,5205,no,no,yes
293,13530,57,self-employed,married,secondary,no,65,no,yes,no
294,38157,29,blue-collar,married,secondary,no,940,yes,yes,yes
295,8082,51,management,divorced,tertiary,no,6,no,no,no
296,30989,26,services,single,secondary,no,1114,no,no,no
297,6825,40,management,married,secondary,no,-240,no,yes,no
298,38599,58,blue-collar,married,secondary,no,238,no,no,no
299,3617,57,management,married,tertiary,no,388,no,yes,no
300,36695,39,services,married,secondary,no,636,yes,no,no
301,29088,48,blue-collar,married,secondary,no,244,yes,yes,no
302,32555,50,blue-collar,married,secondary,no,325,yes,no,no
303,43314,29,management,single,tertiary,no,874,yes,no,yes
304,45109,36,technician,married,tertiary,no,844,yes,yes,no
305,15361,29,technician,single,secondary,yes,28,yes,no,no
306,31410,55,self-employed,married,primary,no,325,no,no,no
307,33107,31,blue-collar,married,secondary,no,2289,yes,yes,no
308,13074,36,admin.,married,secondary,no,68,no,yes,no
309,1469,33,blue-collar,married,secondary,no,527,yes,yes,no
310,38566,40,services,single,secondary,no,65,yes,no,no
311,7923,29,management,single,tertiary,no,0,yes,no,yes
312,24260,39,entrepreneur,married,tertiary,no,1654,no,no,no
313,32589,43,blue-collar,married,secondary,no,948,yes,no,no
314,18265,56,management,married,secondary,no,208,no,yes,no
315,23934,39,technician,divorced,secondary,no,8,no,no,no
316,42798,60,admin.,married,secondary,no,438,yes,no,no
317,19070,59,unknown,married,unknown,no,1541,no,no,no
318,25092,33,entrepreneur,married,primary,no,82,yes,no,no
319,11109,28,management,single,tertiary,no,2253,yes,no,no
320,25288,57,services,married,secondary,no,315,no,no,no
321,39754,57,entrepreneur,married,secondary,no,2464,no,no,no
322,16670,35,management,single,tertiary,no,945,yes,no,no
323,26636,33,self-employed,single,tertiary,no,4996,no,no,no
324,23616,43,management,divorced,tertiary,no,3327,no,no,no
325,2468,43,blue-collar,married,unknown,no,3373,yes,no,no
326,16136,33,blue-collar,married,secondary,no,-130,yes,no,no
327,7619,35,technician,single,secondary,no,-54,yes,no,no
328,2398,47,retired,married,primary,yes,-13,no,no,no
329,31868,36,blue-collar,married,primary,no,2730,yes,no,no
330,30982,34,blue-collar,single,primary,yes,81,no,yes,no
331,15099,53,management,married,tertiary,no,1348,no,yes,no
332,20107,46,housemaid,divorced,primary,no,41,no,no,no
333,27646,37,admin.,single,secondary,no,1097,yes,no,yes
334,40590,30,admin.,single,secondary,no,110,no,no,no
335,1517,40,admin.,single,secondary,no,118,yes,no,no
336,104,59,blue-collar,married,primary,no,179,yes,no,no
337,27140,43,admin.,married,secondary,no,817,yes,yes,no
338,34614,54,technician,married,secondary,no,-258,yes,no,no
339,16831,45,admin.,married,secondary,no,434,no,yes,no
340,42632,28,self-employed,single,tertiary,no,4579,no,no,yes
341,11789,36,management,married,tertiary,no,1355,yes,no,no
342,4399,60,technician,married,unknown,no,132,yes,no,no
343,40718,32,management,single,tertiary,no,697,no,no,no
344,11765,43,admin.,married,secondary,no,584,no,no,no
345,7121,40,blue-collar,married,secondary,no,327,yes,no,no
346,20395,45,blue-collar,married,primary,no,6753,no,no,no
347,283,54,technician,married,tertiary,no,258,no,no,no
348,7612,36,blue-collar,single,secondary,no,366,yes,yes,yes
349,21654,40,unknown,married,tertiary,no,119,no,no,no
350,26226,31,technician,married,secondary,no,1263,yes,no,no
351,20943,42,management,single,tertiary,no,525,no,no,no
352,4129,28,technician,single,secondary,no,213,yes,no,no
353,37867,47,blue-collar,single,primary,no,133,yes,no,no
354,4199,31,blue-collar,married,primary,no,2085,yes,yes,no
355,20515,35,technician,married,secondary,no,1067,no,yes,no
356,9378,51,management,married,tertiary,no,9796,no,yes,no
357,21553,34,management,married,tertiary,no,5399,no,no,no
358,13622,51,blue-collar,divorced,secondary,no,104,no,no,no
359,29679,32,services,divorced,secondary,no,41,yes,no,no
360,19313,48,technician,divorced,tertiary,no,855,no,no,no
361,12696,43,technician,married,secondary,yes,-313,no,yes,no
362,29462,31,management,single,tertiary,no,2915,no,no,no
363,41362,34,services,single,secondary,no,15,no,no,no
364,39826,57,retired,divorced,primary,no,698,no,no,no
365,28899,37,services,single,secondary,no,1534,no,no,no
366,487,43,blue-collar,divorced,secondary,no,110,yes,yes,no
367,1306,40,technician,married,secondary,no,697,yes,no,no
368,30910,26,admin.,single,secondary,no,255,no,no,yes
369,43993,30,technician,single,secondary,no,938,no,no,no
370,13448,33,services,married,secondary,no,0,no,no,no
371,42786,54,admin.,married,secondary,no,0,no,no,yes
372,14954,29,admin.,married,secondary,no,73,yes,no,no
373,8191,29,blue-collar,single,secondary,no,80,yes,yes,no
374,32499,33,services,single,secondary,no,1940,yes,no,no
375,29474,32,blue-collar,married,primary,no,329,yes,no,no
376,33891,59,retired,divorced,secondary,no,5583,yes,no,yes
377,10375,41,blue-collar,divorced,primary,no,1887,no,no,no
378,30621,44,technician,married,secondary,no,310,yes,no,no
379,35392,50,services,divorced,secondary,no,339,yes,no,no
380,22579,31,technician,married,secondary,no,298,no,no,no
381,37850,25,student,single,tertiary,no,938,yes,no,no
382,44599,29,admin.,married,secondary,no,1937,no,no,no
383,42346,70,retired,married,primary,no,3230,no,no,no
384,24986,37,unemployed,single,tertiary,no,1316,yes,no,no
385,3722,45,admin.,divorced,secondary,no,109,yes,no,no
386,19289,35,management,married,secondary,no,533,no,no,no
387,9039,40,blue-collar,married,secondary,no,6536,no,no,no
388,15820,42,management,divorced,tertiary,no,9,yes,no,no
389,6287,31,blue-collar,single,secondary,no,116,yes,no,no
390,26926,32,management,single,tertiary,no,5276,no,no,no
391,24419,46,technician,married,secondary,no,0,yes,no,no
392,5944,38,technician,married,secondary,no,6,yes,no,no
393,1607,33,services,married,secondary,no,5034,yes,no,no
394,25495,30,management,single,tertiary,no,54,yes,yes,no
395,2707,46,admin.,divorced,tertiary,no,3749,yes,no,no
396,955,43,admin.,single,unknown,no,87,yes,no,no
397,37521,52,entrepreneur,married,secondary,no,3332,yes,yes,no
398,38505,29,technician,single,tertiary,no,940,yes,no,no
399,39660,30,admin.,single,secondary,no,983,yes,no,yes
400,44334,57,unemployed,divorced,secondary,no,1088,no,no,no
401,16541,56,management,married,unknown,no,0,no,no,no
402,41515,51,unemployed,married,secondary,no,1416,no,no,yes
403,44841,35,management,single,tertiary,no,1120,no,no,no
404,45172,33,admin.,single,secondary,no,690,no,no,no
405,27103,44,management,divorced,unknown,no,1784,no,yes,no
406,17152,45,entrepreneur,divorced,primary,no,888,yes,no,no
407,34555,31,management,married,tertiary,no,451,yes,no,no
408,34644,39,blue-collar,single,secondary,no,290,yes,no,no
409,5381,28,blue-collar,married,primary,no,4,yes,no,no
410,33419,40,management,divorced,unknown,no,4095,yes,no,no
411,41660,41,management,divorced,tertiary,no,3426,no,no,no
412,17103,46,blue-collar,married,primary,no,-160,no,yes,no
413,10899,44,blue-collar,married,secondary,no,1678,yes,no,no
414,24614,41,management,married,tertiary,no,653,yes,no,no
415,17409,31,blue-collar,single,secondary,no,-343,no,yes,no
416,11467,40,admin.,married,secondary,no,1,no,no,no
417,34737,30,management,married,tertiary,no,94,yes,no,no
418,39933,58,technician,married,tertiary,no,12322,no,no,no
419,19507,33,technician,single,secondary,no,20,yes,no,no
420,27597,45,blue-collar,married,secondary,no,2246,yes,yes,no
421,20155,37,technician,married,secondary,no,3043,no,no,no
422,44882,35,admin.,single,secondary,no,303,no,no,yes
423,26871,32,management,single,tertiary,no,3552,no,no,no
424,39119,39,services,single,primary,no,471,yes,no,no
425,31538,28,student,single,secondary,no,1350,yes,no,no
426,2185,43,admin.,single,secondary,no,275,yes,no,no
427,30885,32,technician,married,secondary,no,106,no,no,no
428,4672,36,technician,single,secondary,no,5436,yes,no,no
429,29987,31,management,married,tertiary,no,2937,yes,no,no
430,40451,70,retired,married,primary,no,7781,no,no,no
431,9697,39,entrepreneur,married,secondary,yes,0,no,no,no
432,9505,37,blue-collar,divorced,secondary,no,33,yes,no,no
433,17091,41,blue-collar,married,primary,no,1018,yes,no,no
434,26768,54,blue-collar,divorced,primary,no,10374,yes,no,no
435,3937,42,blue-collar,married,secondary,no,351,yes,no,no
436,32232,34,technician,married,tertiary,no,352,yes,no,no
437,7513,54,blue-collar,married,unknown,no,6251,yes,no,no
438,20129,32,technician,single,secondary,no,321,yes,no,no
439,18780,42,admin.,married,secondary,no,247,yes,no,no
440,28867,30,technician,married,tertiary,no,1454,no,no,no
441,16449,44,services,married,secondary,no,1106,yes,no,no
442,36645,41,blue-collar,married,secondary,no,10,yes,no,no
443,734,34,management,married,tertiary,no,105,yes,no,no
444,26345,54,blue-collar,divorced,secondary,no,615,no,yes,no
445,8648,39,admin.,single,secondary,no,548,yes,no,no
446,24847,47,management,divorced,secondary,no,0,yes,no,no
447,22188,50,blue-collar,married,primary,no,533,no,no,no
448,29391,39,technician,single,tertiary,no,5803,no,no,no
449,24139,36,admin.,married,secondary,no,3321,yes,no,no
450,20502,35,management,married,tertiary,no,77,no,no,no
451,17199,33,entrepreneur,married,tertiary,no,114,no,yes,no
452,35287,37,management,married,tertiary,no,502,yes,no,no
453,28640,31,management,single,tertiary,no,1724,yes,no,no
454,18159,42,services,married,unknown,no,1340,no,yes,no
455,3863,29,unemployed,single,tertiary,no,0,yes,yes,no
456,9255,39,blue-collar,single,primary,no,1537,no,yes,no
457,3385,57,admin.,married,unknown,no,0,yes,no,no
458,43133,61,self-employed,divorced,tertiary,no,6610,no,no,yes
459,14157,39,blue-collar,married,primary,no,0,yes,no,no
460,23995,49,self-employed,married,secondary,no,1683,no,no,no
461,1009,34,blue-collar,married,primary,no,267,yes,no,no
462,26573,46,admin.,married,secondary,no,2869,yes,no,no
463,39857,26,admin.,single,tertiary,no,313,no,yes,yes
464,30551,36,technician,married,secondary,no,145,yes,yes,no
465,17383,58,housemaid,married,tertiary,no,94,no,yes,no
466,30481,38,management,married,tertiary,no,0,no,no,no
467,30051,34,self-employed,married,secondary,no,47,no,no,no
468,37496,55,retired,married,secondary,no,1279,yes,no,no
469,1341,49,admin.,divorced,secondary,no,168,yes,yes,yes
470,31839,40,technician,married,secondary,no,1832,no,no,no
471,26052,45,management,married,tertiary,no,7154,yes,no,no
472,15095,39,technician,married,secondary,no,251,yes,no,yes
473,7539,37,technician,married,secondary,no,490,yes,no,no
474,23258,51,blue-collar,married,secondary,no,16,yes,yes,no
475,32890,39,technician,married,secondary,no,625,yes,no,no
476,25587,48,management,married,tertiary,no,5057,no,yes,no
477,36428,37,technician,single,tertiary,no,555,yes,no,no
478,37741,46,blue-collar,married,secondary,no,431,yes,no,no
479,34031,32,management,single,tertiary,no,796,no,yes,no
480,20066,61,housemaid,married,primary,no,368,no,no,no
481,7423,39,management,single,secondary,no,835,yes,no,no
482,40981,33,admin.,married,secondary,no,1604,no,no,no
483,42439,29,student,single,secondary,no,314,no,no,yes
484,19667,50,technician,married,secondary,no,3176,no,no,yes
485,38475,34,blue-collar,divorced,secondary,no,1614,yes,no,no
486,2684,37,technician,married,secondary,no,511,yes,no,no
487,38705,29,management,single,tertiary,no,1273,yes,no,no
488,44492,66,management,married,tertiary,no,6251,no,no,no
489,31657,36,self-employed,married,secondary,no,1184,yes,no,yes
